Day,Order sumary,,, Totals 
Sunday,Item,Quantity,Total,"$1,322.75 "
,501,20,,
,502,25,,
,503,28,,
,504,20,,
,505,9,,
,506,10,,
,507,8,,
,508,10,,
,509,25,,
,510,15,,
,511,8,,
,512,6,,
,513,100,,
,514,40,,
,515,25,,
,516,8,,
,517,15,,
,518,12,,
,519,7,,
,,,,
Monday,Item,Quantity,Total,"$2,393.90 "
,501,29,,
,502,32,,
,503,32,,
,504,21,,
,505,14,,
,506,14,,
,507,36,,
,508,21,,
,509,56,,
,510,36,,
,511,16,,
,512,19,,
,513,84,,
,514,70,,
,515,19,,
,516,14,,
,517,55,,
,518,46,,
,519,26,,
,,,,
Tuesday,Item,Quantity,Total,"$1,710.25 "
,501,31,,
,502,34,,
,503,34,,
,504,24,,
,505,9,,
,506,6,,
,507,29,,
,508,16,,
,509,40,,
,510,18,,
,511,5,,
,512,3,,
,513,30,,
,514,25,,
,515,15,,
,516,10,,
,517,32,,
,518,55,,
,519,30,,
,,,,
Wednesday,Item,Quantity,Total,"$1,261.05 "
,501,23,,
,502,23,,
,503,23,,
,504,18,,
,505,3,,
,506,5,,
,507,18,,
,508,10,,
,509,33,,
,510,18,,
,511,7,,
,512,5,,
,513,33,,
,514,23,,
,515,15,,
,516,9,,
,517,21,,
,518,33,,
,519,18,,
,,,,
Thursday,Item,Quantity,Total,"$1,844.05 "
,501,53,,
,502,58,,
,503,63,,
,504,23,,
,505,8,,
,506,5,,
,507,15,,
,508,11,,
,509,38,,
,510,16,,
,511,8,,
,512,3,,
,513,38,,
,514,13,,
,515,8,,
,516,15,,
,517,23,,
,518,19,,
,519,18,,
,,,,
Friday,Item,Quantity,Total,"$2,504.50 "
,501,60,,
,502,65,,
,503,70,,
,504,30,,
,505,15,,
,506,12,,
,507,22,,
,508,18,,
,509,45,,
,510,23,,
,511,15,,
,512,10,,
,513,45,,
,514,20,,
,515,15,,
,516,22,,
,517,30,,
,518,26,,
,519,25,,
,,,,
Saturday,Item,Quantity,Total,"$3,486.25 "
,501,70,,
,502,70,,
,503,78,,
,504,40,,
,505,20,,
,506,20,,
,507,40,,
,508,20,,
,509,60,,
,510,40,,
,511,20,,
,512,20,,
,513,90,,
,514,45,,
,515,30,,
,516,40,,
,517,55,,
,518,46,,
,519,50,,
